PING concord.edu (75.98.231.179) 56(84) bytes of data.
64 bytes from 75.98.231.179: icmp_seq=1 ttl=102 time=129 ms
64 bytes from 75.98.231.179: icmp_seq=2 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=3 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=4 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=5 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=6 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=7 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=8 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=9 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=10 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=11 ttl=102 time=128 ms
64 bytes from 75.98.231.179: icmp_seq=12 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=13 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=14 ttl=102 time=128 ms
64 bytes from 75.98.231.179: icmp_seq=15 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=16 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=17 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=18 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=19 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=20 ttl=102 time=128 ms
64 bytes from 75.98.231.179: icmp_seq=21 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=22 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=23 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=24 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=25 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=26 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=27 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=28 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=29 ttl=102 time=128 ms
64 bytes from 75.98.231.179: icmp_seq=30 ttl=102 time=129 ms
64 bytes from 75.98.231.179: icmp_seq=31 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=32 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=33 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=34 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=35 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=36 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=37 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=38 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=39 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=40 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=41 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=42 ttl=102 time=129 ms
64 bytes from 75.98.231.179: icmp_seq=43 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=44 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=45 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=46 ttl=102 time=128 ms
64 bytes from 75.98.231.179: icmp_seq=47 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=48 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=49 ttl=102 time=127 ms
64 bytes from 75.98.231.179: icmp_seq=50 ttl=102 time=127 ms

--- concord.edu ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49023ms
rtt min/avg/max/mdev = 127.147/127.724/129.691/0.694 ms
